,Country Code,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Central government debt, total (% of GDP)","Population, total","Population, female (% of total population)","Inflation, consumer prices (annual %)",Real interest rate (%),Deposit interest rate (%),Lending interest rate (%),Country Name,Country,Continent
57,ZAF,1960,8748596500.5614,0.0,529.5619227453674,0.0,0.0,16520441.0,48.5336922906598,1.28885903549376,0.0,0.0,6.20833333333333,South Africa,South Africa,Africa
59,AUS,1961,19682883149.261303,2.4826183481116146,1877.6002241020035,0.46363353564314025,0.0,10483000.0,49.4912876889241,2.28758169934641,2.206876308246451,0.0,5.5,Australia,Australia,Oceania
60,AUT,1961,7311749633.3622875,5.537979316845281,1031.8150043290987,4.960717183491752,0.0,7086299.0,53.3921064832293,3.54223986727557,0.0,0.0,0.0,Austria,Austria,Europe
61,BDI,1961,202999992.0,-13.746135053983892,72.08878213277688,-15.870157597821887,0.0,2815972.0,51.6197959354709,0.0,0.0,0.0,0.0,Burundi,Burundi,Africa
62,BEL,1961,12400145221.594988,4.978423063191968,1350.1976733312283,4.63025713410768,0.0,9183948.0,51.005538656454,0.992676260767339,0.0,0.0,0.0,Belgium,Belgium,Europe
63,BEN,1961,235668220.50820154,3.141280456412133,92.37485987395874,1.5673265729585069,0.0,2551216.0,52.2718186151231,0.0,0.0,0.0,0.0,Benin,Benin,Africa
64,BFA,1961,350247234.26071155,4.043927977549245,72.173766181674,2.55227305245495,0.0,4852833.0,49.2265033641174,18.5621387281079,0.0,0.0,0.0,Burkina Faso,Burkina Faso,Africa
65,BGD,1961,4817580375.0,6.058160825481281,92.85511293739931,3.01980165923581,0.0,51882769.0,48.1217338265041,0.0,0.0,0.0,0.0,Bangladesh,Bangladesh,Asia
67,BLZ,1961,29964999.964999966,4.892277219026823,319.6028026174042,2.2586987067707724,0.0,93757.0,50.3717055793167,0.0,0.0,0.0,0.0,Belize,Belize,North America
69,BOL,1961,406000000.0,2.0892959357046834,107.27277723407448,0.006128821675702056,0.0,3784744.0,50.6610750951716,7.56149307183899,0.0,0.0,0.0,Bolivia,Bolivia,South America
70,BWA,1961,32902612.866485514,6.343283719672101,62.74299129960262,4.003501514845723,0.0,524403.0,52.1900141684925,0.0,0.0,0.0,0.0,Botswana,Botswana,Africa
71,CAF,1961,123134583.46355903,4.95355379797229,71.99320347221938,3.073628194910796,0.0,1710364.0,50.5894651664792,0.0,0.0,0.0,0.0,Central African Republic,Central African Republic,Africa
72,CAN,1961,40934952063.94684,3.163291683712984,2240.433039458532,1.121346226011454,0.0,18271000.0,49.4817410654578,1.01876675603211,3.084345021912107,0.0,5.60416666666667,Canada,Canada,North America
73,CHE,1961,10712712465.052166,0.0,1971.3163227922828,0.0,0.0,5434294.0,51.5145153087323,1.84539787448658,0.0,0.0,0.0,Switzerland,Switzerland,Europe
74,CHL,1961,4829238095.238095,5.245271884456486,580.8886466753427,3.071444281440506,0.0,8313535.0,49.7639331523834,0.0,0.0,0.0,0.0,Chile,Chile,South America
75,CHN,1961,50056685957.35899,-27.270000003922718,75.80556079136036,-26.527643606403956,0.0,660330000.0,48.896749716502,0.0,0.0,0.0,0.0,China,China,Asia
77,CMR,1961,652777608.3204924,1.1836808110119819,125.52558591105654,-0.4263335122541605,0.0,5200355.0,51.4556794680363,0.0,0.0,0.0,0.0,Cameroon,Cameroon,Africa
79,COL,1961,4540447761.19403,5.089216984391072,280.5791374015045,1.8764473715372674,0.0,16182414.0,50.1847993754208,8.28319045648716,0.0,0.0,0.0,Colombia,Colombia,South America
80,CRI,1961,490325181.61427474,1.879276556364104,351.2010858627691,-1.7573665451509015,0.0,1396138.0,49.3252815982374,2.4307939100916,0.0,0.0,0.0,Costa Rica,Costa Rica,North America
82,DOM,1961,654100200.0,-2.313248749952251,191.90744084860557,-5.477191878209169,0.0,3408415.0,49.8098676364234,-3.90000000099988,0.0,0.0,0.0,Dominican Republic,Dominican Republic,North America
83,DZA,1961,2434747055.940175,-13.60544132459927,209.91717764236665,-15.127218311281041,0.0,11598608.0,49.5492217686812,0.0,0.0,0.0,0.0,Algeria,Algeria,Africa
87,ECU,1961,1753850954.839794,5.12441487941237,369.11467347933905,2.174143397174248,0.0,4751507.0,50.0755865454897,3.98562050634913,0.0,0.0,0.0,Ecuador,Ecuador,South America
89,ESP,1961,13834300571.484875,11.838674194833203,450.05328924696846,10.804486856499267,0.0,30739250.0,51.4076433591801,0.809252873882167,0.0,0.0,0.0,Spain,Spain,Europe
90,FIN,1961,5921659485.032839,7.6046704792442625,1327.427224365998,6.847965181311537,0.0,4461005.0,51.8058943469828,1.69100191533953,0.0,0.0,0.0,Finland,Finland,Europe
91,FJI,1961,116987784.91373882,3.5175820027896236,282.2151739392639,0.3478814031731474,0.0,414534.0,48.4507905262295,0.0,0.0,0.0,0.0,Fiji,Fiji,Oceania
92,FRA,1961,67461644222.03518,4.980111849138396,1430.434624232757,3.8410549415390562,0.0,47161641.0,51.4548762835904,2.40046104546321,0.0,0.0,0.0,France,France,Europe
93,GAB,1961,167637907.12278184,14.766843186833214,322.7971230622242,13.443330300308574,0.0,519329.0,51.0493348147321,0.0,0.0,0.0,0.0,Gabon,Gabon,Africa
94,GBR,1961,77741965703.35442,2.6771189434537206,1472.3857140786822,1.899261981760887,0.0,52800000.0,51.6674189190112,3.4474962304662,0.0,4.04166666666667,0.0,United Kingdom,United Kingdom,Europe
95,GHA,1961,1309859154.9295774,3.4296740146287448,184.25289233305665,0.55595866170286,0.0,7109029.0,49.000292445002,0.0,0.0,0.0,0.0,Ghana,Ghana,Africa
96,GRC,1961,4961400439.317218,13.20384119344267,590.7800548123931,12.309794984244675,0.0,8398050.0,51.1829222624277,2.10357934997025,0.0,0.0,0.0,Greece,Greece,Europe
97,GTM,1961,1076699900.0,4.298518348746882,253.2272900349984,1.2805927592967095,0.0,4251911.0,48.8664848341388,-0.553335382726508,0.0,0.0,0.0,Guatemala,Guatemala,North America
98,GUY,1961,185849535.37616155,4.68952431164918,315.7500554303905,1.7357564021226892,0.0,588597.0,50.1127256849763,0.0,0.0,0.0,0.0,Guyana,Guyana,South America
100,HND,1961,356200000.0,1.8556593208204362,166.45419845901358,-1.0626035032646968,0.0,2139928.0,49.8912112930902,1.56299237392687,0.0,0.0,0.0,Honduras,Honduras,North America
101,HTI,1961,271065999.78314716,-2.9319802912678057,68.19383662298472,-4.734056631253793,0.0,3974934.0,51.2885245390238,3.77970638342673,0.0,0.0,0.0,Haiti,Haiti,North America
106,IND,1961,39232435784.03579,3.7227425331105337,85.96970418510078,1.359574511924876,0.0,456351876.0,48.3818103116552,1.69521293914457,0.0,0.0,0.0,India,India,Asia
107,IRL,1961,2088012282.3566668,0.0,739.2764064426664,0.0,0.0,2824400.0,49.7590492357513,2.75699935863552,0.0,0.0,0.0,Ireland,Ireland,Europe
109,IRQ,1961,1831479827.4080691,0.0,252.24514109880505,0.0,0.0,7260714.0,50.5795297817818,0.916260431846688,0.0,0.0,0.0,Iraq,Iraq,Asia
110,ISL,1961,253885656.32925302,-0.08466194629227175,1418.1258697152584,-2.0128830332422183,0.0,179029.0,49.4609601054619,4.71161499679353,0.0,0.0,0.0,Iceland,Iceland,Europe
111,ISR,1961,3138500000.0,11.203885617468458,1436.3844393592678,7.5914133972726034,0.0,2185000.0,49.5867281057661,6.78982340440243,0.0,0.0,0.0,Israel,Israel,Asia
112,ITA,1961,44842760293.19238,8.207245913847714,887.3367446044755,7.486418839140157,0.0,50536350.0,51.5224983653777,2.05069731278698,0.0,0.0,0.0,Italy,Italy,Europe
113,JAM,1961,748043500.7825997,0.0,449.6118421248572,0.0,0.0,1663754.0,52.416402905718,6.69845053635201,0.0,0.0,0.0,Jamaica,Jamaica,North America
114,JPN,1961,53508617739.37778,12.043536408011619,568.9077426971216,11.044073040340336,0.0,94055000.0,50.8798709770761,5.36846178480055,0.0,6.36703076923077,0.0,Japan,Japan,Asia
115,KEN,1961,792959472.8162109,-7.774634903716546,98.53525055902176,-11.167245992205011,0.0,8047470.0,50.4743726910445,2.45700245700251,0.0,0.0,0.0,Kenya,Kenya,Africa
117,LKA,1961,1444327731.092437,0.0,144.10295027665052,0.0,0.0,10022888.0,47.3824310917173,1.1344436397999,0.0,0.0,0.0,Sri Lanka,Sri Lanka,Asia
120,LSO,1961,35699985.72000571,1.8647951656276547,46.91841281649336,-1.2219600136465942,0.0,760895.0,55.7924549379349,0.0,0.0,0.0,0.0,Lesotho,Lesotho,Africa
122,LUX,1961,704145671.350213,3.829983121740497,2222.3663663627735,2.8878467412547764,0.0,316845.0,50.6432670956167,0.48243359063082,0.0,0.0,0.0,Luxembourg,Luxembourg,Europe
123,MAR,1961,2025693539.5584223,0.0,167.165298461914,0.0,0.0,12081713.0,50.062445615121,1.76312460493452,0.0,0.0,0.0,Morocco,Morocco,Africa
124,MDG,1961,699161944.5580972,2.0486327506124837,134.2930942198576,-0.5563105004864468,0.0,5206239.0,49.0497650991436,0.0,0.0,0.0,0.0,Madagascar,Madagascar,Africa
125,MEX,1961,14160000000.0,5.000000000718913,378.21202774612584,1.7151508139444473,0.0,37439317.0,49.7252634175992,1.6087596908193,0.0,0.0,0.0,Mexico,Mexico,North America
127,MMR,1961,605581577.2870662,0.4715610803797574,27.274629750593316,-1.7114073824561586,0.0,22203109.0,49.9007323704081,-0.146412882872103,0.0,0.0,0.0,Myanmar,Myanmar,Asia
